id,category,title,summary,sentiment,status,source_name,collect_method,published_at,collected_at,source_url
1,IT,"[Pangyo Interview] PCNC, Founded by a Computer Engineering Ph.D. and Form...","PCNC는 컴퓨터공학 박사가 설립한 기업으로 소개됐다. 창업자는 초등학교 교사 시절 교육 현장의 시스템적 문제를 목격했으며, 학습 동기 부여를 위해 목표 달성 지원 시스템을 제공한다.",긍정,summarized,naver,api,2026-08-05T12:38:00+00:00,2026-08-05T12:40:45.201041+00:00,https://us.aving.net/news/articleView.html?idxno=54173
2,IT,동남아 막으니 카자흐로…스캠조직 무더기 검거,"동남아시아 단속 강화 이후 스캠 조직이 카자흐스탄으로 이동하는 ‘풍선 효과’가 나타났다고 경찰이 분석했다. 경찰은 카자흐스탄의 IT 기반시설과 주변국으로의 육로 이동 편의성을 새로운 범죄 거점이 된 배경으로 봤으며, 현재까지 피해자는 16명으로 확인됐다.",부정,summarized,naver,api,2026-08-05T12:29:00+00:00,2026-08-05T12:40:45.205500+00:00,http://www.yonhapnewstv.co.kr/news/MYH20260805212819itQ
3,IT,[8월 5일 인사종합] 신한투자증권 외,"이뉴스투데이, 법제처, 경북도 등이 인사를 발표했다. 이뉴스투데이는 전승민 IT과학부장을 임명했으며, 법제처와 경북도는 과장급 전보 및 보직 인사를 단행했다.",중립,summarized,naver,api,2026-08-05T12:26:00+00:00,2026-08-05T12:40:45.212236+00:00,https://www.pinpointnews.co.kr/news/articleView.html?idxno=474756
4,IT,SPAIN MIGRATION,스페인 영토인 북아프리카 남부 지역의 해상 방벽이 모로코 나도르 항구와의 육상·해상 경계를 형성하고 있다. 이 시설은 국경을 넘은 이들의 송환 절차를 지원하기 위한 목적으로 설치됐다.,중립,summarized,naver,api,2026-08-05T12:14:00+00:00,2026-08-05T12:40:45.218318+00:00,https://n.news.naver.com/mnews/article/091/0010275705?sid=104
5,IT,SPAIN MIGRATION,스페인령 월경지 남부의 해상 방벽은 모로코 나도르 항구와의 육상·해상 국경 역할을 한다. 이 방벽은 국경 반환 절차를 용이하게 하기 위한 시설로 설명됐다.,중립,summarized,naver,api,2026-08-05T12:14:00+00:00,2026-08-05T12:40:45.223390+00:00,https://n.news.naver.com/mnews/article/091/0010275706?sid=104
6,IT,"1조원 AI 인프라 펀드, 우정사업본부·산은이 조성",우정사업본부와 산업은행이 AI·반도체·전력망·데이터센터 등 실물 기반시설 투자를 위한 1조원 규모 AI 인프라 펀드를 조성한다. 산업통상부도 6월 29일 발표한 ‘대한민국 대도약 3대 메가프로젝트’에서 AI 데이터센터 투자와 전력 인프라 확충을 추진 과제로 제시했다.,긍정,summarized,naver,api,2026-08-05T12:38:00+00:00,2026-08-05T12:40:45.817786+00:00,https://www.tokenpost.kr/news/policy/385791
7,IT,"민형배 시장, '반도체 클러스터' 지정 대응상황 점검회의",민형배 전남광주통합특별시장이 반도체특별법 시행령 시행을 앞두고 서남권 반도체 클러스터 지정 대응상황 점검회의를 열었다. 회의에서는 광주 군공항 부지를 중심으로 한 반도체 클러스터 추진 상황을 점검했다.,중립,summarized,naver,api,2026-08-05T12:36:00+00:00,2026-08-05T12:40:45.824047+00:00,http://www.newsworker.co.kr/news/articleView.html?idxno=439962
8,IT,"청주대 반도체공학과 이충현 씨, 'NANO KOREA 2026' 국제학술대회 베스트...",청주대 반도체공학과 석사 1년 이충현 씨가 ‘NANO KOREA 2026’ 국제학술대회에서 베스트상을 받았다. 수상 연구는 고성능 광반도체 소자의 설계와 성능 향상에 활용될 수 있는 원천 기술로 소개됐다.,긍정,summarized,naver,api,2026-08-05T12:35:00+00:00,2026-08-05T12:40:45.831097+00:00,http://www.enewstoday.co.kr/news/articleView.html?idxno=2456435
9,반도체,[미리보는 이데일리 신문]토스 ‘환급액 찾기’ 막히나…업계 초긴장,"이데일리는 토스의 ‘환급액 찾기’ 서비스 관련 업계 긴장감과 반도체 인재 확보·처우 개선 이슈 등을 주요 기사로 예고했다. 쿠팡의 2분기 매출 증가와 마이스터고 장비 지원 확대, 기술 인재 육성 방안도 다룬다.",중립,summarized,naver,api,2026-08-05T12:41:00+00:00,2026-08-05T12:41:47.626370+00:00,https://www.edaily.co.kr/news/newspath.asp?newsid=06976566645544368
10,반도체,6500선 되찾은 코스피…반도체 훈풍에 3.8%↑,"코스피가 반도체주 강세에 힘입어 3.8% 상승하며 6500선을 회복했다. 삼성전자는 2.50% 오른 24만6천원, SK하이닉스는 5.77% 오른 166만8천원에 마감했으며 외국인은 두 종목을 대규모 순매수했다.",긍정,summarized,naver,api,2026-08-05T12:34:00+00:00,2026-08-05T12:41:59.700642+00:00,https://www.idaegu.co.kr/news/articleView.html?idxno=555979
